Portfolio,Capacity_min,Capacity_max,Tolerance_min,Tolerance_max
1,4,4,4,6
1,4,4,7,9
1,4,4,10,12
1,4,4,13,15
1,4,4,16,16
2,5,5,4,6
2,5,5,7,9
2,5,5,10,12
2,5,5,13,15
2,5,5,16,16
2,6,6,4,6
2,6,6,7,9
2,6,6,10,12
2,6,6,13,15
2,6,6,16,16
2,7,7,4,6
2,7,7,7,9
2,7,7,10,12
2,7,7,13,15
3,7,7,16,16
2,8,8,4,6
2,8,8,7,9
2,8,8,10,12
3,8,8,13,15
3,8,8,16,16
2,9,9,4,6
2,9,9,7,9
3,9,9,10,12
3,9,9,13,15
3,9,9,16,16
3,10,10,4,6
3,10,10,7,9
3,10,10,10,12
4,10,10,13,15
4,10,10,16,16
3,11,11,4,6
3,11,11,7,9
4,11,11,10,12
4,11,11,13,15
5,11,11,16,16
3,12,12,4,6
4,12,12,7,9
4,12,12,10,12
5,12,12,13,15
5,12,12,16,16
